Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,Suborganization Name,commit_datetime,commit_date
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
acus.gov,Federal - Executive,,Administrative Conference of the United States,Washington,DC,info@acus.gov,changed_new,Administrative Conference of the United States,2026-01-10 06:12:23+00:00,1768025543
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
achp.gov,Federal - Executive,,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_new,Advisory Council on Historic Preservation,2026-01-10 06:12:23+00:00,1768025543
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
preserveamerica.gov,Federal - Executive,,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_new,Advisory Council on Historic Preservation,2026-01-10 06:12:23+00:00,1768025543
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
abmc.gov,Federal - Executive,,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
amtrakoig.gov,Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,admin@amtrakoig.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
amtrakoig.gov,Federal - Executive,,AMTRAK,Washington,DC,admin@amtrakoig.gov,changed_new,Office of Inspector General,2026-01-10 06:12:23+00:00,1768025543
arc.gov,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
arc.gov,Federal - Executive,,Appalachian Regional Commission,Washington,DC,(blank),changed_new,Appalachian Regional Commission,2026-01-10 06:12:23+00:00,1768025543
asc.gov,Federal - Executive,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,Appraisal Subcommittee,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
asc.gov,Federal - Executive,,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,Washington,DC,(blank),changed_new,Appraisal Subcommittee,2026-01-10 06:12:23+00:00,1768025543
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
afrh.gov,Federal - Executive,,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,changed_new,Armed Forces Retirement Home,2026-01-10 06:12:23+00:00,1768025543
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Front Royal,VA,goldwaterao@goldwaterscholarship.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
goldwaterscholarship.gov,Federal - Executive,,Barry Goldwater Scholarship and Excellence in Education Foundation,Front Royal,VA,goldwaterao@goldwaterscholarship.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
cia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
cia.gov,Federal - Executive,,Central Intelligence Agency*,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
ic.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
ic.gov,Federal - Executive,,Central Intelligence Agency*,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
istac.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
istac.gov,Federal - Executive,,Central Intelligence Agency*,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
