Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
FLEET.GOV,Federal Agency - Executive,General Services Administration,General Services Administration,Washington DC,DC,esther.ankomah@gsa.gov,added,2021-05-03 10:33:06-04:00,1620052386
GSAFLEET.GOV,Federal Agency - Executive,General Services Administration,General Services Administration,Washington DC,DC,esther.ankomah@gsa.gov,added,2021-05-03 10:33:06-04:00,1620052386
VACUNA.GOV,Federal Agency - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,added,2021-05-03 10:33:06-04:00,1620052386
GSATEST1.GOV,Federal Agency - Executive,General Services Administration,"GSA, IDI, ECAS II",Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2021-05-03 10:33:06-04:00,1620052386
EVERYTRYCOUNTS.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",Rockville,MD,responsibledisclosure@hhs.gov,changed_old,2021-05-03 10:33:06-04:00,1620052386
EVERYTRYCOUNTS.GOV,Federal Agency - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,responsibledisclosure@hhs.gov,changed_new,2021-05-03 10:33:06-04:00,1620052386
ITRD.GOV,Federal Agency - Executive,Networking Information Technology Research and Development,National Coordination Office for Networking and Information Technology Research and Development (NCO,Arlington,VA,(blank),changed_old,2021-05-03 10:33:06-04:00,1620052386
ITRD.GOV,Federal Agency - Executive,Networking Information Technology Research and Development,National Coordination Office for Networking and Information Technology Research and Development (NCO,Arlington,VA,security@nitrd.gov,changed_new,2021-05-03 10:33:06-04:00,1620052386
NITRD.GOV,Federal Agency - Executive,Networking Information Technology Research and Development,National Coordination Office - for Networking and Information Technology Research and Development (N,Arlington,VA,(blank),changed_old,2021-05-03 10:33:06-04:00,1620052386
NITRD.GOV,Federal Agency - Executive,Networking Information Technology Research and Development,National Coordination Office - for Networking and Information Technology Research and Development (N,Arlington,VA,security@nitrd.gov,changed_new,2021-05-03 10:33:06-04:00,1620052386
