Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
CHIPS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards & Technology,Gaithersburg,MD,siirt@nist.gov,deleted,2021-12-21 15:06:17-05:00,1640117177
SEMICONDUCTORS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards & Technology,Gaithersburg,MD,siirt@nist.gov,deleted,2021-12-21 15:06:17-05:00,1640117177
ACUS.GOV,Federal - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Washington,DC,info@acus.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
ACUS.GOV,Federal Agency - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Washington,DC,info@acus.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
ACHP.GOV,Federal - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
ACHP.GOV,Federal Agency - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
PRESERVEAMERICA.GOV,Federal - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
PRESERVEAMERICA.GOV,Federal Agency - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
ABMC.GOV,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
ABMC.GOV,Federal Agency - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
ABMCSCHOLAR.GOV,Federal - Executive,American Battle Monuments Commission,Office of Chief Information Officer,Arlington,VA,itsec@abmc.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
ABMCSCHOLAR.GOV,Federal Agency - Executive,American Battle Monuments Commission,Office of Chief Information Officer,Arlington,VA,itsec@abmc.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
NATIONALMALL.GOV,Federal - Executive,American Battle Monuments Commission,Office of Chief Information Officer,Arlington,VA,itsec@abmc.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
NATIONALMALL.GOV,Federal Agency - Executive,American Battle Monuments Commission,Office of Chief Information Officer,Arlington,VA,itsec@abmc.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
AMTRAKOIG.GOV,Federal - Executive,AMTRAK,Amtrak Office of Inspector General,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
AMTRAKOIG.GOV,Federal Agency - Executive,AMTRAK,Amtrak Office of Inspector General,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
ARC.GOV,Federal - Executive,Appalachian Regional Commission,ARC,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
ARC.GOV,Federal Agency - Executive,Appalachian Regional Commission,ARC,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
ASC.GOV,Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
ASC.GOV,Federal Agency - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
AFRH.GOV,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
AFRH.GOV,Federal Agency - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
GOLDWATERSCHOLARSHIP.GOV,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,changed_old,2021-12-21 15:06:17-05:00,1640117177
GOLDWATERSCHOLARSHIP.GOV,Federal Agency - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,changed_new,2021-12-21 15:06:17-05:00,1640117177
CIA.GOV,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
CIA.GOV,Federal Agency - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
DF.GOV,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
DF.GOV,Federal Agency - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
IC.GOV,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
IC.GOV,Federal Agency - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
ISTAC.GOV,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
ISTAC.GOV,Federal Agency - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
NCTC.GOV,Federal - Executive,Central Intelligence Agency,National Counterterrorism Center,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
NCTC.GOV,Federal Agency - Executive,Central Intelligence Agency,National Counterterrorism Center,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
ODCI.GOV,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
ODCI.GOV,Federal Agency - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
OPENSOURCE.GOV,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank),changed_old,2021-12-21 15:06:17-05:00,1640117177
OPENSOURCE.GOV,Federal Agency - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank),changed_new,2021-12-21 15:06:17-05:00,1640117177
