Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
CHIPS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards & Technology,Gaithersburg,MD,siirt@nist.gov,added,2021-12-21 20:06:49+00:00,1640117209
SEMICONDUCTORS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards & Technology,Gaithersburg,MD,siirt@nist.gov,added,2021-12-21 20:06:49+00:00,1640117209
AMTRAKOIG.GOV,Federal Agency - Executive,AMTRAK,Amtrak Office of Inspector General,Washington,DC,(blank),changed_old,2021-12-21 20:06:49+00:00,1640117209
AMTRAKOIG.GOV,Federal - Executive,AMTRAK,Amtrak Office of Inspector General,Washington,DC,(blank),changed_new,2021-12-21 20:06:49+00:00,1640117209
ACUS.GOV,Federal Agency - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Washington,DC,info@acus.gov,changed_old,2021-12-21 20:06:49+00:00,1640117209
ACUS.GOV,Federal - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Washington,DC,info@acus.gov,changed_new,2021-12-21 20:06:49+00:00,1640117209
ACHP.GOV,Federal Agency - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_old,2021-12-21 20:06:49+00:00,1640117209
ACHP.GOV,Federal - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_new,2021-12-21 20:06:49+00:00,1640117209
PRESERVEAMERICA.GOV,Federal Agency - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_old,2021-12-21 20:06:49+00:00,1640117209
PRESERVEAMERICA.GOV,Federal - Executive,Advisory Council on Historic Preservation,ACHP,Washington,DC,domainsecurity@achp.gov,changed_new,2021-12-21 20:06:49+00:00,1640117209
ABMC.GOV,Federal Agency - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_old,2021-12-21 20:06:49+00:00,1640117209
ABMC.GOV,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_new,2021-12-21 20:06:49+00:00,1640117209
ABMCSCHOLAR.GOV,Federal Agency - Executive,American Battle Monuments Commission,Office of Chief Information Officer,Arlington,VA,itsec@abmc.gov,changed_old,2021-12-21 20:06:49+00:00,1640117209
