Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
BUDGET.GOV,Federal - Executive,Executive Office of the President,Office of Management and Budget,Washington,DC,(blank),changed_old,2023-02-03 06:10:06+00:00,1675404606
BUDGET.GOV,Federal - Executive,Executive Office of the President,Office of Management and Budget,Washington,DC,melanie.l.wardrick@oa.eop.gov,changed_new,2023-02-03 06:10:06+00:00,1675404606
EOP.GOV,Federal - Executive,Executive Office of the President,Office of Administration,Washington,DC,(blank),changed_old,2023-02-03 06:10:06+00:00,1675404606
EOP.GOV,Federal - Executive,Executive Office of the President,Office of Administration,Washington,DC,melanie.l.wardrick@oa.eop.gov,changed_new,2023-02-03 06:10:06+00:00,1675404606
NEPA.GOV,Federal - Executive,Executive Office of the President,Council on Environmental Quality,Washington,DC,(blank),changed_old,2023-02-03 06:10:06+00:00,1675404606
NEPA.GOV,Federal - Executive,Executive Office of the President,Council on Environmental Quality,Washington,DC,melanie.l.wardrick@oa.eop.gov,changed_new,2023-02-03 06:10:06+00:00,1675404606
ONDCP.GOV,Federal - Executive,Executive Office of the President,Office of National Drug Control Policy,Washington,DC,(blank),changed_old,2023-02-03 06:10:06+00:00,1675404606
ONDCP.GOV,Federal - Executive,Executive Office of the President,Office of National Drug Control Policy,Washington,DC,melanie.l.wardrick@oa.eop.gov,changed_new,2023-02-03 06:10:06+00:00,1675404606
OSTP.GOV,Federal - Executive,Executive Office of the President,Office of Science and Technology Policy - White House,Washington,DC,(blank),changed_old,2023-02-03 06:10:06+00:00,1675404606
OSTP.GOV,Federal - Executive,Executive Office of the President,Office of Science and Technology Policy - White House,Washington,DC,melanie.l.wardrick@oa.eop.gov,changed_new,2023-02-03 06:10:06+00:00,1675404606
WH.GOV,Federal - Executive,Executive Office of the President,Office of Administration,Washington,DC,(blank),changed_old,2023-02-03 06:10:06+00:00,1675404606
WH.GOV,Federal - Executive,Executive Office of the President,Office of Administration,Washington,DC,petrina.r.evans@oa.eop.gov,changed_new,2023-02-03 06:10:06+00:00,1675404606
