Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
CHCOC.GOV,Federal - Executive,Office of Personnel Management,Chief Human Capital Officers,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
CHCOC.GOV,Federal - Executive,Office of Personnel Management,Chief Human Capital Officers,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
CYBERCAREERS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
CYBERCAREERS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
EMPLOYEEEXPRESS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
EMPLOYEEEXPRESS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
FEB.GOV,Federal - Executive,Office of Personnel Management,Federal Executive Board,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
FEB.GOV,Federal - Executive,Office of Personnel Management,Federal Executive Board,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
FEDERALJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
FEDERALJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
FEDJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
FEDJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
FEDSHIREVETS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
FEDSHIREVETS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
FEGLI.GOV,Federal - Executive,Office of Personnel Management,OPM Federal Employees Benefits,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
FEGLI.GOV,Federal - Executive,Office of Personnel Management,OPM Federal Employees Benefits,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
FSAFEDS.GOV,Federal - Executive,Office of Personnel Management,OPM Federal Employees Benefits,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
FSAFEDS.GOV,Federal - Executive,Office of Personnel Management,OPM Federal Employees Benefits,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
GOLEARN.GOV,Federal - Executive,Office of Personnel Management,OPM Center for Leadership Development,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
GOLEARN.GOV,Federal - Executive,Office of Personnel Management,OPM Center for Leadership Development,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
GOVERNMENTJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
GOVERNMENTJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
OPM.GOV,Federal - Executive,Office of Personnel Management,Office Of Personnel Management,Macon,GA,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
OPM.GOV,Federal - Executive,Office of Personnel Management,Office Of Personnel Management,Macon,GA,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
PMF.GOV,Federal - Executive,Office of Personnel Management,Presidential Management Fellows,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
PMF.GOV,Federal - Executive,Office of Personnel Management,Presidential Management Fellows,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
TELEWORK.GOV,Federal - Executive,Office of Personnel Management,"OPM Policy, Data, Oversight",Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
TELEWORK.GOV,Federal - Executive,Office of Personnel Management,"OPM Policy, Data, Oversight",Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
USAJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,kevin.crews@opm.gov,changed_old,2022-05-27 06:10:25+00:00,1653631825
USAJOBS.GOV,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,dana.dulaney@opm.gov,changed_new,2022-05-27 06:10:25+00:00,1653631825
