Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
DFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@opic.gov,changed_old,2023-01-27 06:10:11+00:00,1674799811
DFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov,changed_new,2023-01-27 06:10:11+00:00,1674799811
IDFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,CISO@opic.gov,changed_old,2023-01-27 06:10:11+00:00,1674799811
IDFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov,changed_new,2023-01-27 06:10:11+00:00,1674799811
OPIC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,Ciso@opic.gov,changed_old,2023-01-27 06:10:11+00:00,1674799811
OPIC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov,changed_new,2023-01-27 06:10:11+00:00,1674799811
USDFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,washington,DC,ciso@opic.gov,changed_old,2023-01-27 06:10:11+00:00,1674799811
USDFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,washington,DC,ciso@dfc.gov,changed_new,2023-01-27 06:10:11+00:00,1674799811
USIDFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,CISO@opic.gov,changed_old,2023-01-27 06:10:11+00:00,1674799811
USIDFC.GOV,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov,changed_new,2023-01-27 06:10:11+00:00,1674799811
