Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov,changed_old,2024-12-17 06:10:41+00:00,1734415841
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,,,info@acus.gov,changed_new,2024-12-17 06:10:41+00:00,1734415841
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_old,2024-12-17 06:10:41+00:00,1734415841
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,,domainsecurity@achp.gov,changed_new,2024-12-17 06:10:41+00:00,1734415841
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_old,2024-12-17 06:10:41+00:00,1734415841
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,,domainsecurity@achp.gov,changed_new,2024-12-17 06:10:41+00:00,1734415841
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_old,2024-12-17 06:10:41+00:00,1734415841
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,,,itsec@abmc.gov,changed_new,2024-12-17 06:10:41+00:00,1734415841
amtrakoig.gov,Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
amtrakoig.gov,Federal - Executive,AMTRAK,AMTRAK,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
arc.gov,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
arc.gov,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
asc.gov,Federal - Executive,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,Appraisal Subcommittee,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
asc.gov,Federal - Executive,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,changed_old,2024-12-17 06:10:41+00:00,1734415841
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,,,Stanley.Whitehead@afrh.gov,changed_new,2024-12-17 06:10:41+00:00,1734415841
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,changed_old,2024-12-17 06:10:41+00:00,1734415841
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,,,goldwaterao@goldwaterscholarship.gov,changed_new,2024-12-17 06:10:41+00:00,1734415841
cia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
cia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
ic.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
ic.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
istac.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
istac.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
odci.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
odci.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
opensource.gov,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank),changed_old,2024-12-17 06:10:41+00:00,1734415841
opensource.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,,(blank),changed_new,2024-12-17 06:10:41+00:00,1734415841
