Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
iarpa-ideas.gov,Federal - Executive,Director of National Intelligence,Office of the Director of National Intelligence,Washington,DC,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
iarpa-ideas.gov,Federal - Executive,Director of National Intelligence,Office of the Director of National Intelligence,Washington,DC,ideas_licensing@serco-na.com,changed_new,2025-06-05 06:11:53+00:00,1749103913
ata.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
ata.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
domainops.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
domainops.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
ecfc.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
ecfc.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
erpo.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
erpo.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
fraho.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
fraho.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
igorville.gov,Federal - Executive,gov Administration,Igorville Village,Igorville,IA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
igorville.gov,Federal - Executive,.gov Administration,Igorville Village,Igorville,IA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
jpo.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
jpo.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
lfs.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
lfs.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
nrpo.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
nrpo.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
osdls.gov,Federal - Executive,gov Administration,.gov Administration,Washington,DC,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
osdls.gov,Federal - Executive,.gov Administration,.gov Administration,Washington,DC,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
owc.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
owc.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
psd.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
psd.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
psup.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
psup.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
pubservices.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
pubservices.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
rpo.gov,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2025-06-05 06:11:53+00:00,1749103913
rpo.gov,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2025-06-05 06:11:53+00:00,1749103913
