Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
ATA.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
ATA.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
DOMAINOPS.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,registrar@dotgov.gov,changed_old,2022-08-12 06:10:21+00:00,1660284621
DOMAINOPS.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,registrar@dotgov.gov,changed_new,2022-08-12 06:10:21+00:00,1660284621
ECFC.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
ECFC.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
ERPO.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
ERPO.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
FED.US,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,dotgov@cisa.dhs.gov,changed_old,2022-08-12 06:10:21+00:00,1660284621
FED.US,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,dotgov@cisa.dhs.gov,changed_new,2022-08-12 06:10:21+00:00,1660284621
FRAHO.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
FRAHO.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
JPO.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
JPO.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
NRPO.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
NRPO.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
OSDLS.GOV,Federal - Executive,.gov Administration,.gov Administration,Washington,DC,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
OSDLS.GOV,Federal - Executive,gov Administration,.gov Administration,Washington,DC,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
OWC.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
OWC.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
PSD.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
PSD.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
PSUP.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
PSUP.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
PUBSERVICES.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
PUBSERVICES.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
RPO.GOV,Federal - Executive,.gov Administration,.gov Administration,Arlington,VA,(blank),changed_old,2022-08-12 06:10:21+00:00,1660284621
RPO.GOV,Federal - Executive,gov Administration,.gov Administration,Arlington,VA,(blank),changed_new,2022-08-12 06:10:21+00:00,1660284621
