Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,commit_datetime,commit_date
18f.gov,Federal - Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",Washington,DC,gsa-vulnerability-reports@gsa.gov,added,2024-01-30 12:19:24-05:00,1706635164
2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,added,2024-01-30 12:19:24-05:00,1706635164
22007apply.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,Washington,DC,james.flickinger@usda.gov,added,2024-01-30 12:19:24-05:00,1706635164
400yaahc.gov,Federal - Executive,General Services Administration,400 Years of African American History Commission,Washington,DC,gsa-vulnerability-reports@gsa.gov,added,2024-01-30 12:19:24-05:00,1706635164
9-11commission.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov,added,2024-01-30 12:19:24-05:00,1706635164
911.gov,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,Washington,DC,DOT-Cyber-Reporting@dot.gov,added,2024-01-30 12:19:24-05:00,1706635164
911commission.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov,added,2024-01-30 12:19:24-05:00,1706635164
988.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,olexiy.karakcheyev@samhsa.hhs.gov,added,2024-01-30 12:19:24-05:00,1706635164
abilityone.gov,Federal - Executive,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Arlington,VA,eyang@abilityone.gov,added,2024-01-30 12:19:24-05:00,1706635164
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,added,2024-01-30 12:19:24-05:00,1706635164
acc.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov,added,2024-01-30 12:19:24-05:00,1706635164
accedeainternet.gov,Federal - Executive,Federal Communications Commission,Federal Communications Commission,Washington,DC,NSOC-monitor@fcc.gov,added,2024-01-30 12:19:24-05:00,1706635164
access-board.gov,Federal - Executive,United States Access Board,U.S Access Board,Washington,DC,cybersecurity@access-board.gov,added,2024-01-30 12:19:24-05:00,1706635164
accessibility.gov,Federal - Executive,General Services Administration,"GSA, IC, OGP Web Portfolio",Washington,DC,gsa-vulnerability-reports@gsa.gov,added,2024-01-30 12:19:24-05:00,1706635164
acf.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,DC,responsibledisclosure@hhs.gov,added,2024-01-30 12:19:24-05:00,1706635164
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,added,2024-01-30 12:19:24-05:00,1706635164
acl.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov,added,2024-01-30 12:19:24-05:00,1706635164
acpbenefit.gov,Federal - Executive,Federal Communications Commission,Office of the Managing Director,Washington,DC,nsoc-monitor@fcc.gov,added,2024-01-30 12:19:24-05:00,1706635164
