Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
invest.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,russell.a.barnes@oa.eop.gov,changed_old,2024-02-07 06:10:11+00:00,1707286211
invest.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,dl.eop.cloudadmin@eop.gov,changed_new,2024-02-07 06:10:11+00:00,1707286211
investinamerica.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,russell.a.barnes@oa.eop.gov,changed_old,2024-02-07 06:10:11+00:00,1707286211
investinamerica.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,dl.eop.cloudadmin@eop.gov,changed_new,2024-02-07 06:10:11+00:00,1707286211
investinginamerica.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,russell.a.barnes@oa.eop.gov,changed_old,2024-02-07 06:10:11+00:00,1707286211
investinginamerica.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,dl.eop.cloudadmin@eop.gov,changed_new,2024-02-07 06:10:11+00:00,1707286211
pci.gov,Federal - Executive,Executive Office of the President,Presidential Community of Interest,Washington,DC,(blank),changed_old,2024-02-07 06:10:11+00:00,1707286211
pci.gov,Federal - Executive,Executive Office of the President,Presidential Community of Interest,Washington,DC,dl.eop.cloudadmin@eop.gov,changed_new,2024-02-07 06:10:11+00:00,1707286211
pitc.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,(blank),changed_old,2024-02-07 06:10:11+00:00,1707286211
pitc.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,dl.eop.cloudadmin@eop.gov,changed_new,2024-02-07 06:10:11+00:00,1707286211
pitctestdomain.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,Russell.A.Barnes@oa.eop.gov,changed_old,2024-02-07 06:10:11+00:00,1707286211
pitctestdomain.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,dl.eop.cloudadmin@eop.gov,changed_new,2024-02-07 06:10:11+00:00,1707286211
