Domain Name,Domain Type,Organization Name,Suborganization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
accessibility.gov,Federal - Executive,General Services Administration,Office of GSA IT,DC,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
afterschool.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
businessusa.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
consumeraction.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
fbf.gov,Federal - Executive,General Services Administration,Office of GSA IT,DC,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
fedidcard.gov,Federal - Executive,General Services Administration,Office of GSA IT,DC,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
globalchange.gov,Federal - Executive,United States Global Change Research Program,U.S. Global Change Research Program,Washington,DC,(blank),deleted,2026-08-06 08:40:55+00:00,1786005655
info.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
kids.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
mshastanddown.gov,Federal - Executive,Department of Labor,Mine Safety and Health Administration,Washington,DC,m-dolscirc@dol.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
sbst.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
us.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
usagov.gov,Federal - Executive,General Services Administration,Federal Acquisition Service,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-08-06 08:40:55+00:00,1786005655
usss.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,megan.mcgraw@usss.dhs.gov,changed_old,2026-08-06 08:40:55+00:00,1786005655
usss.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,lingping.kong@usss.dhs.gov,changed_new,2026-08-06 08:40:55+00:00,1786005655
